2025-12-10T14:02:14+09:00	DEBUG	No plugins loaded
2025-12-10T14:02:14+09:00	DEBUG	Default config file "file_path=trivy.yaml" not found, using built in values
2025-12-10T14:02:14+09:00	DEBUG	Cache dir	dir="/Users/keita.higaki/Library/Caches/trivy"
2025-12-10T14:02:14+09:00	DEBUG	Cache dir	dir="/Users/keita.higaki/Library/Caches/trivy"
2025-12-10T14:02:14+09:00	DEBUG	Parsed severities	severities=[UNKNOWN LOW MEDIUM HIGH CRITICAL]
2025-12-10T14:02:14+09:00	DEBUG	Ignore statuses	statuses=[]
2025-12-10T14:02:14+09:00	DEBUG	DB update was skipped because the local DB is the latest
2025-12-10T14:02:14+09:00	DEBUG	DB info	schema=2 updated_at=2025-12-10T00:28:02.128218939Z next_update=2025-12-11T00:28:02.128218576Z downloaded_at=2025-12-10T04:59:51.510173Z
2025-12-10T14:02:14+09:00	DEBUG	[pkg] Package types	types=[os library]
2025-12-10T14:02:14+09:00	DEBUG	[pkg] Package relationships	relationships=[unknown root workspace direct indirect]
2025-12-10T14:02:14+09:00	INFO	[vuln] Vulnerability scanning is enabled
2025-12-10T14:02:14+09:00	INFO	[secret] Secret scanning is enabled
2025-12-10T14:02:14+09:00	INFO	[secret] If your scanning is slow, please try '--scanners vuln' to disable secret scanning
2025-12-10T14:02:14+09:00	INFO	[secret] Please see https://trivy.dev/docs/v0.68/guide/scanner/secret#recommendation for faster secret detection
2025-12-10T14:02:14+09:00	DEBUG	Initializing scan cache...	type="memory"
2025-12-10T14:02:14+09:00	DEBUG	[notification] Running version check
2025-12-10T14:02:14+09:00	DEBUG	[secret] No secret config detected	config_path="trivy-secret.yaml"
2025-12-10T14:02:14+09:00	DEBUG	[fs] Analyzing...	root="many-files-2"
2025-12-10T14:02:14+09:00	DEBUG	Created process-specific temp directory	path="/var/folders/qj/dwx0238x7v74bd1k5d8j7wtc0000gp/T/trivy-43336"
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_1.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_1.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_1.txt" content_len=15 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_1.txt" content_len=15 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_10.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_10.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_10.txt" content_len=16 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_10.txt" content_len=16 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_100.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_100.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_100.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_100.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_1000.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_1000.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_1000.txt" content_len=18 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_1000.txt" content_len=18 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_101.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_101.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_101.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_101.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_102.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_102.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_102.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_102.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_103.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_103.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_103.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_103.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_104.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_104.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_104.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_104.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_105.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_105.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_105.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_105.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_106.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_106.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_106.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_106.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_107.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_107.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_107.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_107.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_108.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_108.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_108.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_108.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_109.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_109.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_109.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_109.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_11.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_11.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_11.txt" content_len=16 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_11.txt" content_len=16 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_110.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_110.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_110.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_110.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_111.txt"
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanStream called	file_path="file_111.txt" buffer_size=65536 overlap_size=4096
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_111.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] scanChunk called	file_path="file_111.txt" content_len=17 num_rules=87
2025-12-10T14:02:14+09:00	DEBUG	[secret] Using streaming scanner	file_path="file_112.txt"
